,3000,5000
952,0.1,0.06
953,0.1,0.06
954,0.1,0.06
955,0.1,0.06
956,0.1,0.06
957,0.1,0.06
958,0.1,0.06
959,0.1,0.06
960,0.1,0.06
961,0.1,0.06
962,0.1,0.06
963,0.1,0.06
964,0.1,0.06
965,0.1,0.06
966,0.1,0.06
967,0.1,0.06
968,0.1,0.06
969,0.1,0.055
970,0.1,0.055
971,0.1,0.055
972,0.1,0.055
973,0.1,0.055
974,0.1,0.055
975,0.1,0.055
976,0.1,0.055
977,0.1,0.055
978,0.1,0.055
979,0.1,0.055
980,0.1,0.055
981,0.1,0.055
982,0.095,0.055
983,0.095,0.055
984,0.095,0.055
985,0.095,0.055
986,0.095,0.055
987,0.095,0.055
988,0.095,0.055
989,0.095,0.055
990,0.095,0.055
991,0.095,0.055
992,0.095,0.055
993,0.095,0.055
994,0.095,0.055
995,0.095,0.055
996,0.095,0.055
997,0.09,0.055
998,0.09,0.055
999,0.09,0.055
1000,0.09,0.055
1001,0.09,0.055
1002,0.09,0.055
1003,0.09,0.055
1004,0.09,0.055
1005,0.09,0.055
1006,0.09,0.055
1007,0.09,0.055
1008,0.085,0.055
1009,0.085,0.055
1010,0.085,0.055
1011,0.085,0.055
1012,0.085,0.055
1013,0.085,0.055
1014,0.085,0.055
1015,0.085,0.055
1016,0.085,0.055
1017,0.085,0.055
1018,0.085,0.055
1019,0.085,0.055
1020,0.085,0.05
1021,0.085,0.05
1022,0.085,0.05
1023,0.085,0.05
1024,0.085,0.05
1025,0.085,0.05
1026,0.085,0.05
1027,0.085,0.05
1028,0.085,0.05
1029,0.085,0.05
1030,0.085,0.05
1031,0.085,0.05
1032,0.085,0.05
1033,0.085,0.05
1034,0.085,0.05
1035,0.085,0.05
1036,0.085,0.05
1037,0.085,0.05
1038,0.08,0.05
1039,0.08,0.05
1040,0.08,0.05
1041,0.08,0.05
1042,0.08,0.05
1043,0.08,0.05
1044,0.08,0.05
1045,0.08,0.05
1046,0.08,0.05
1047,0.08,0.05
1048,0.08,0.05
1049,0.08,0.05
1050,0.08,0.05
1051,0.08,0.05
1052,0.08,0.05
1053,0.08,0.05
1054,0.08,0.05
1055,0.08,0.05
1056,0.08,0.05
1057,0.08,0.05
1058,0.08,0.05
1059,0.075,0.05
1060,0.075,0.05
1061,0.075,0.05
1062,0.075,0.05
1063,0.075,0.05
1064,0.075,0.05
1065,0.075,0.05
1066,0.075,0.05
